Start Time: 15-12-2022 13:38:19
End Time: 15-12-2022 15:07:57
Data Number: 2690
T1 (°C) Max: 114.6 15-12-2022 14:12:01	 Min: 21.2 15-12-2022 13:38:19	 Avg: 58.44
T2 (°C) Max: 57 15-12-2022 15:04:15	 Min: 21.5 15-12-2022 13:39:35	 Avg: 48.79
T3 (°C) Max: 39 15-12-2022 15:04:15	 Min: 21.6 15-12-2022 13:38:35	 Avg: 34.16
T4 (°C) Max: 0 	 Min: 0 	 Avg: 0.00
""
Record Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C)
"15-12-2022 13:38:19","21.2","21.7","21.7",""
"15-12-2022 13:38:21","21.2","21.8","21.8",""
"15-12-2022 13:38:23","21.2","21.8","21.8",""
"15-12-2022 13:38:25","21.2","21.8","21.7",""
"15-12-2022 13:38:27","21.4","21.8","21.8",""
"15-12-2022 13:38:29","21.2","21.8","21.8",""
"15-12-2022 13:38:31","21.2","21.8","21.8",""
"15-12-2022 13:38:33","21.2","21.9","21.8",""
"15-12-2022 13:38:35","21.3","21.7","21.6",""
"15-12-2022 13:38:37","21.4","21.7","21.6",""
"15-12-2022 13:38:39","21.5","21.7","21.7",""
"15-12-2022 13:38:41","21.5","21.7","21.7",""
"15-12-2022 13:38:43","21.5","21.7","21.7",""
"15-12-2022 13:38:45","22.0","21.7","21.7",""
"15-12-2022 13:38:47","23.9","21.7","21.7",""
"15-12-2022 13:38:49","25.4","21.7","21.7",""
"15-12-2022 13:38:51","26.6","21.8","21.7",""
"15-12-2022 13:38:53","28.1","21.8","21.7",""
"15-12-2022 13:38:55","30.0","21.7","21.7",""
"15-12-2022 13:38:57","31.5","21.8","21.7",""
"15-12-2022 13:38:59","33.2","21.8","21.7",""
"15-12-2022 13:39:01","34.7","21.8","21.8",""
"15-12-2022 13:39:03","36.1","21.6","21.6",""
"15-12-2022 13:39:05","38.5","21.7","21.7",""
"15-12-2022 13:39:07","39.9","21.7","21.7",""
"15-12-2022 13:39:09","41.7","21.7","21.7",""
"15-12-2022 13:39:11","43.2","21.7","21.7",""
"15-12-2022 13:39:13","44.5","21.8","21.7",""
"15-12-2022 13:39:15","45.7","21.8","21.7",""
"15-12-2022 13:39:17","47.3","21.7","21.7",""
"15-12-2022 13:39:19","48.8","21.7","21.7",""
"15-12-2022 13:39:21","50.3","21.7","21.7",""
"15-12-2022 13:39:23","51.7","21.8","21.7",""
"15-12-2022 13:39:25","53.5","21.8","21.7",""
"15-12-2022 13:39:27","54.7","21.8","21.7",""
"15-12-2022 13:39:29","55.8","21.8","21.8",""
"15-12-2022 13:39:31","57.3","21.7","21.7",""
"15-12-2022 13:39:33","58.6","21.7","21.7",""
"15-12-2022 13:39:35","60.0","21.5","21.6",""
"15-12-2022 13:39:37","61.4","21.5","21.6",""
"15-12-2022 13:39:39","62.1","21.5","21.6",""
"15-12-2022 13:39:41","63.7","21.5","21.6",""
"15-12-2022 13:39:43","65.2","21.5","21.6",""
"15-12-2022 13:39:45","66.0","21.5","21.6",""
"15-12-2022 13:39:47","67.1","21.5","21.6",""
"15-12-2022 13:39:49","68.3","21.5","21.6",""
"15-12-2022 13:39:51","69.8","21.5","21.6",""
"15-12-2022 13:39:53","70.7","21.5","21.6",""
"15-12-2022 13:39:55","72.2","21.5","21.6",""
"15-12-2022 13:39:57","73.0","21.6","21.7",""
"15-12-2022 13:39:59","74.3","21.6","21.7",""
"15-12-2022 13:40:01","75.5","21.6","21.7",""
"15-12-2022 13:40:03","76.6","21.5","21.7",""
"15-12-2022 13:40:05","77.8","21.5","21.6",""
"15-12-2022 13:40:07","78.8","21.6","21.7",""
"15-12-2022 13:40:09","79.5","21.6","21.7",""
"15-12-2022 13:40:11","80.8","21.6","21.7",""
"15-12-2022 13:40:13","81.5","21.7","21.8",""
"15-12-2022 13:40:15","82.7","21.7","21.7",""
"15-12-2022 13:40:17","83.8","21.7","21.7",""
"15-12-2022 13:40:19","84.6","21.7","21.7",""
"15-12-2022 13:40:21","86.1","21.7","21.7",""
"15-12-2022 13:40:23","86.8","21.7","21.7",""
"15-12-2022 13:40:25","88.0","21.7","21.7",""
"15-12-2022 13:40:27","88.7","21.8","21.7",""
"15-12-2022 13:40:29","90.0","21.8","21.7",""
"15-12-2022 13:40:31","90.5","21.8","21.8",""
"15-12-2022 13:40:33","91.5","21.8","21.7",""
"15-12-2022 13:40:35","92.3","21.9","21.8",""
"15-12-2022 13:40:37","93.3","21.9","21.7",""
"15-12-2022 13:40:39","94.7","21.9","21.7",""
"15-12-2022 13:40:41","95.4","22.1","22",""
"15-12-2022 13:40:43","95.9","22.2","22",""
"15-12-2022 13:40:45","96.8","22.2","22",""
"15-12-2022 13:40:47","98.1","22.2","22",""
"15-12-2022 13:40:49","98.9","22","21.7",""
"15-12-2022 13:40:51","99.7","22","21.6",""
"15-12-2022 13:40:53","100.7","22.2","21.9",""
"15-12-2022 13:40:55","101.4","22.2","21.9",""
