Start Time: 09-01-2023 09:47:21
End Time: 09-01-2023 12:33:51
Data Number: 3755
T1 (°C) Max: 110.3 09-01-2023 11:34:53	 Min: 17.9 09-01-2023 09:48:09	 Avg: 44.33
T2 (°C) Max: 60.7 09-01-2023 12:24:11	 Min: 21.3 09-01-2023 09:47:23	 Avg: 42.51
T3 (°C) Max: 37.9 09-01-2023 12:24:11	 Min: 21.1 09-01-2023 09:47:31	 Avg: 29.94
T4 (°C) Max: 0 	 Min: 0 	 Avg: 0.00
""
Record Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C)
"09-01-2023 09:47:21","20.5","21.4","21.2",""
"09-01-2023 09:47:23","20.5","21.3","21.2",""
"09-01-2023 09:47:25","20.5","21.3","21.2",""
"09-01-2023 09:47:27","20.5","21.3","21.2",""
"09-01-2023 09:47:29","20.5","21.3","21.2",""
"09-01-2023 09:47:31","20.5","21.3","21.1",""
"09-01-2023 09:47:33","20.5","21.3","21.2",""
"09-01-2023 09:47:35","20.5","21.3","21.1",""
"09-01-2023 09:47:37","20.6","21.3","21.2",""
"09-01-2023 09:47:39","20.5","21.3","21.2",""
"09-01-2023 09:47:41","20.5","21.3","21.2",""
"09-01-2023 09:47:43","20.5","21.5","21.4",""
"09-01-2023 09:47:45","20.5","21.5","21.4",""
"09-01-2023 09:47:47","20.5","21.3","21.2",""
"09-01-2023 09:47:49","20.5","21.3","21.2",""
"09-01-2023 09:47:51","20.5","21.3","21.2",""
"09-01-2023 09:47:53","20.3","21.3","21.1",""
"09-01-2023 09:47:55","19.7","21.3","21.1",""
"09-01-2023 09:47:57","19.7","21.3","21.1",""
"09-01-2023 09:47:59","18.9","21.4","21.2",""
"09-01-2023 09:48:01","18.9","21.4","21.2",""
"09-01-2023 09:48:03","18.2","21.4","21.2",""
"09-01-2023 09:48:05","18.2","21.6","21.3",""
"09-01-2023 09:48:07","18.2","21.7","21.3",""
"09-01-2023 09:48:09","17.9","21.9","21.3",""
"09-01-2023 10:02:11","37.0","43.2","29",""
"09-01-2023 10:02:13","37.0","43.2","29.1",""
"09-01-2023 10:02:15","37.0","43.2","29.1",""
"09-01-2023 10:02:17","37.0","43.2","29",""
"09-01-2023 10:02:19","37.1","43.2","29.1",""
"09-01-2023 10:02:21","37.1","42.9","28.9",""
"09-01-2023 10:02:23","37.1","42.9","29",""
"09-01-2023 10:02:25","37.1","42.9","29",""
"09-01-2023 10:02:27","37.1","42.8","28.9",""
"09-01-2023 10:02:29","37.1","42.8","29",""
"09-01-2023 10:02:31","37.2","42.8","29",""
"09-01-2023 10:02:33","37.2","42.8","29",""
"09-01-2023 10:02:35","37.2","42.7","29",""
"09-01-2023 10:02:37","37.2","42.7","29",""
"09-01-2023 10:02:39","37.2","42.7","29.1",""
"09-01-2023 10:02:41","37.3","42.7","29.1",""
"09-01-2023 10:02:43","37.3","42.7","29.1",""
"09-01-2023 10:02:45","37.3","42.7","29.1",""
"09-01-2023 10:02:47","37.3","42.4","29.1",""
"09-01-2023 10:02:49","37.3","42.3","29",""
"09-01-2023 10:02:51","37.4","42.4","29.2",""
"09-01-2023 10:02:53","37.4","42.4","29.2",""
"09-01-2023 10:02:55","37.4","42.3","29.2",""
"09-01-2023 10:02:57","37.4","42.3","29.1",""
"09-01-2023 10:02:59","37.4","42.3","29.2",""
"09-01-2023 10:03:01","37.4","42.3","29.1",""
"09-01-2023 10:03:03","37.4","42.2","29.1",""
"09-01-2023 10:03:05","37.5","42.1","29",""
"09-01-2023 10:03:07","37.4","42","28.9",""
"09-01-2023 10:03:09","37.4","42","29",""
"09-01-2023 10:03:11","37.4","42","29",""
"09-01-2023 10:03:13","37.4","41.9","28.9",""
"09-01-2023 10:03:15","37.2","42","29",""
"09-01-2023 10:03:17","37.2","41.5","28.8",""
"09-01-2023 10:03:19","37.3","41.5","28.8",""
"09-01-2023 10:03:21","37.4","41.7","28.9",""
"09-01-2023 10:03:23","37.2","41.7","28.9",""
"09-01-2023 10:03:25","37.2","41.7","28.9",""
"09-01-2023 10:03:27","37.3","41.6","28.9",""
"09-01-2023 10:03:29","37.3","41.6","28.9",""
"09-01-2023 10:03:31","37.4","41.6","28.9",""
"09-01-2023 10:03:33","37.4","41.6","29",""
"09-01-2023 10:03:35","37.3","41.6","29",""
"09-01-2023 10:03:37","37.4","41.4","28.9",""
"09-01-2023 10:03:39","37.4","41.4","28.9",""
"09-01-2023 10:03:41","37.4","41.4","28.9",""
"09-01-2023 10:03:43","37.4","41.3","28.9",""
"09-01-2023 10:03:45","37.4","41.3","28.9",""
"09-01-2023 10:03:47","37.4","41.2","28.9",""
"09-01-2023 10:03:49","37.5","41.2","28.9",""
"09-01-2023 10:03:51","37.6","41.2","28.9",""
"09-01-2023 10:03:53","37.5","41.2","28.9",""
"09-01-2023 10:03:55","37.5","41.1","28.8",""
"09-01-2023 10:03:57","37.5","41.1","28.8",""
"09-01-2023 10:03:59","37.4","41.1","28.8",""
"09-01-2023 10:04:01","37.4","41","28.8",""
"09-01-2023 10:04:03","37.4","41","28.8",""
"09-01-2023 10:04:05","37.4","41","28.8",""
"09-01-2023 10:04:07","37.2","40.9","28.8",""
"09-01-2023 10:04:09","37.2","40.9","28.8",""
"09-01-2023 10:04:11","37.2","40.9","28.8",""
"09-01-2023 10:04:13","37.2","40.8","28.7",""
"09-01-2023 10:04:15","37.2","40.6","28.7",""
"09-01-2023 10:04:17","37.2","40.6","28.7",""
"09-01-2023 10:04:19","37.3","40.5","28.7",""
"09-01-2023 10:04:21","37.2","40.5","28.5",""
"09-01-2023 10:04:23","37.2","40.5","28.5",""
"09-01-2023 10:04:25","37.3","40.5","28.6",""
"09-01-2023 10:04:27","37.3","40.5","28.6",""
"09-01-2023 10:04:29","37.4","40.5","28.6",""
"09-01-2023 10:04:31","37.4","40.5","28.6",""
"09-01-2023 10:04:33","37.3","40.5","28.7",""
"09-01-2023 10:04:35","37.2","40.5","28.7",""
"09-01-2023 10:04:37","37.2","40.3","28.6",""
"09-01-2023 10:04:39","37.2","40.3","28.6",""
"09-01-2023 10:04:41","37.2","40.3","28.6",""
"09-01-2023 10:04:43","36.8","40.3","28.6",""
"09-01-2023 10:04:45","36.9","40.3","28.7",""
"09-01-2023 10:04:47","37.0","40.3","28.7",""
"09-01-2023 10:04:49","37.0","40.1","28.7",""
"09-01-2023 10:04:51","37.1","40.1","28.7",""
"09-01-2023 10:04:53","37.1","40.1","28.7",""
"09-01-2023 10:04:55","37.1","40.1","28.6",""
"09-01-2023 10:04:57","37.2","40.1","28.7",""
"09-01-2023 10:04:59","37.2","40.1","28.7",""
"09-01-2023 10:05:01","37.1","40","28.6",""
"09-01-2023 10:05:03","37.1","40","28.6",""
"09-01-2023 10:05:05","37.1","40","28.6",""
"09-01-2023 10:05:07","37.1","40","28.6",""
"09-01-2023 10:05:09","36.9","40","28.6",""
"09-01-2023 10:05:11","36.9","39.7","28.4",""
"09-01-2023 10:05:13","37.1","39.7","28.4",""
"09-01-2023 10:05:15","36.9","39.8","28.5",""
"09-01-2023 10:05:17","36.7","39.6","28.5",""
"09-01-2023 10:05:19","36.9","39.6","28.5",""
"09-01-2023 10:05:21","36.9","39.7","28.5",""
"09-01-2023 10:05:23","36.9","39.5","28.4",""
"09-01-2023 10:05:25","36.9","39.5","28.4",""
"09-01-2023 10:05:27","36.7","39.5","28.4",""
"09-01-2023 10:05:29","36.8","39.5","28.4",""
"09-01-2023 10:05:31","36.8","39.4","28.4",""
"09-01-2023 10:05:33","36.8","39.4","28.4",""
"09-01-2023 10:05:35","36.8","39.4","28.4",""
"09-01-2023 10:05:37","36.8","39.4","28.4",""
"09-01-2023 10:05:39","36.8","39.4","28.4",""
"09-01-2023 10:05:41","36.8","39.2","28.3",""
"09-01-2023 10:05:43","36.8","39.2","28.3",""
"09-01-2023 10:05:45","36.8","39.2","28.4",""
"09-01-2023 10:05:47","36.9","39.2","28.3",""
"09-01-2023 10:05:49","36.8","39.2","28.3",""
"09-01-2023 10:05:51","36.8","39.2","28.3",""
"09-01-2023 10:05:53","36.7","39.2","28.3",""
"09-01-2023 10:05:55","36.7","39.1","28.3",""
"09-01-2023 10:05:57","36.7","39.1","28.3",""
"09-01-2023 10:05:59","36.6","39.1","28.3",""
"09-01-2023 10:06:01","36.6","38.9","28.3",""
"09-01-2023 10:06:03","36.7","38.9","28.3",""
"09-01-2023 10:06:05","36.7","38.9","28.2",""
"09-01-2023 10:06:07","36.6","38.9","28.2",""
"09-01-2023 10:06:09","36.6","38.9","28.3",""
"09-01-2023 10:06:11","36.6","38.9","28.3",""
"09-01-2023 10:06:13","36.6","38.9","28.3",""
"09-01-2023 10:06:15","36.6","38.7","28.3",""
"09-01-2023 10:06:17","36.6","38.7","28.2",""
"09-01-2023 10:06:19","36.6","38.7","28.2",""
"09-01-2023 10:06:21","36.5","38.7","28.2",""
"09-01-2023 10:06:23","36.6","38.7","28.2",""
"09-01-2023 10:06:25","36.4","38.7","28.2",""
"09-01-2023 10:06:27","36.4","38.7","28.2",""
"09-01-2023 10:06:29","36.4","38.5","28",""
"09-01-2023 10:06:31","36.4","38.5","28.1",""
"09-01-2023 10:06:33","36.4","38.5","28.1",""
"09-01-2023 10:06:35","36.4","38.5","28.1",""
"09-01-2023 10:06:37","36.4","38.5","28.1",""
"09-01-2023 10:06:39","36.2","38.6","28.2",""
"09-01-2023 10:06:41","36.2","38.5","28.1",""
"09-01-2023 10:06:43","36.3","38.5","28.1",""
"09-01-2023 10:06:45","36.3","38.3","27.9",""
"09-01-2023 10:06:47","36.3","38.3","28",""
"09-01-2023 10:06:49","36.3","38.3","28",""
"09-01-2023 10:06:51","36.3","38.4","28.2",""
"09-01-2023 10:06:53","36.3","38.3","28.2",""
"09-01-2023 10:06:55","36.3","38.3","28.1",""
"09-01-2023 10:06:57","36.3","38.2","28.1",""
"09-01-2023 10:06:59","36.3","38.2","28.1",""
"09-01-2023 10:07:01","36.2","38","28",""
"09-01-2023 10:07:03","36.2","38","28",""
"09-01-2023 10:07:05","36.2","38","27.9",""
"09-01-2023 10:07:07","36.2","38","27.9",""
"09-01-2023 10:07:09","36.2","37.8","27.8",""
"09-01-2023 10:07:11","36.2","37.8","27.8",""
"09-01-2023 10:07:13","36.1","37.9","27.9",""
"09-01-2023 10:07:15","36.1","37.9","27.9",""
"09-01-2023 10:07:17","36.0","37.9","27.9",""
"09-01-2023 10:07:19","36.1","37.9","27.9",""
"09-01-2023 10:07:21","36.1","37.9","28",""
"09-01-2023 10:07:23","36.0","37.9","28",""
"09-01-2023 10:07:25","36.0","37.8","27.9",""
"09-01-2023 10:07:27","36.0","37.8","27.9",""
"09-01-2023 10:07:29","35.8","37.8","27.9",""
"09-01-2023 10:07:31","35.8","37.8","27.9",""
"09-01-2023 10:07:33","35.8","37.7","27.9",""
"09-01-2023 10:07:35","35.9","37.7","27.9",""
"09-01-2023 10:07:37","35.9","37.5","27.8",""
"09-01-2023 10:07:39","35.9","37.5","27.8",""
"09-01-2023 10:07:41","35.8","37.6","27.8",""
"09-01-2023 10:07:43","35.8","37.5","27.8",""
"09-01-2023 10:07:45","35.6","37.5","27.8",""
"09-01-2023 10:07:47","35.7","37.3","27.6",""
"09-01-2023 10:07:49","35.7","37.3","27.6",""
"09-01-2023 10:07:51","35.7","37.3","27.7",""
"09-01-2023 10:07:53","35.6","37.3","27.7",""
"09-01-2023 10:07:55","35.6","37.3","27.7",""
"09-01-2023 10:07:57","35.6","37.3","27.7",""
"09-01-2023 10:07:59","35.7","37.3","27.7",""
"09-01-2023 10:08:01","35.7","37.2","27.7",""
"09-01-2023 10:08:03","35.7","37.3","27.7",""
"09-01-2023 10:08:05","35.7","37.2","27.7",""
"09-01-2023 10:08:07","35.7","37.2","27.7",""
"09-01-2023 10:08:09","35.6","37.2","27.7",""
"09-01-2023 10:08:11","35.6","37.2","27.8",""
"09-01-2023 10:08:13","35.6","37.1","27.7",""
"09-01-2023 10:08:15","35.6","37.1","27.7",""
"09-01-2023 10:08:17","35.6","37.1","27.7",""
"09-01-2023 10:08:19","35.3","37.1","27.7",""
"09-01-2023 10:08:21","35.3","37","27.7",""
"09-01-2023 10:08:23","35.4","37","27.7",""
"09-01-2023 10:08:25","35.3","36.8","27.5",""
"09-01-2023 10:08:27","35.3","36.9","27.5",""
"09-01-2023 10:08:29","35.3","36.8","27.5",""
"09-01-2023 10:08:31","35.4","36.8","27.5",""
"09-01-2023 10:08:33","35.1","36.8","27.6",""
"09-01-2023 10:08:35","35.3","36.8","27.6",""
"09-01-2023 10:08:37","35.3","36.8","27.6",""
"09-01-2023 10:08:39","35.3","36.8","27.5",""
"09-01-2023 10:08:41","35.3","36.6","27.5",""
"09-01-2023 10:08:43","35.2","36.6","27.5",""
"09-01-2023 10:08:45","35.0","36.4","27.4",""
"09-01-2023 10:08:47","34.9","36.5","27.4",""
"09-01-2023 10:08:49","34.9","36.5","27.4",""
"09-01-2023 10:08:51","34.9","36.5","27.4",""
"09-01-2023 10:08:53","35.0","36.5","27.4",""
"09-01-2023 10:08:55","35.0","36.5","27.5",""
"09-01-2023 10:08:57","35.0","36.5","27.5",""
"09-01-2023 10:08:59","35.0","36.5","27.4",""
"09-01-2023 10:09:01","35.0","36.5","27.4",""
"09-01-2023 10:09:03","35.0","36.4","27.4",""
"09-01-2023 10:09:05","35.0","36.4","27.4",""
"09-01-2023 10:09:07","35.0","36.4","27.4",""
"09-01-2023 10:09:09","35.0","36.3","27.4",""
"09-01-2023 10:09:11","35.0","36.2","27.4",""
"09-01-2023 10:09:13","35.0","36.2","27.3",""
"09-01-2023 10:09:15","35.0","36.2","27.3",""
"09-01-2023 10:09:17","35.0","36.2","27.4",""
"09-01-2023 10:09:19","34.9","36.2","27.4",""
"09-01-2023 10:09:21","34.9","36.2","27.4",""
"09-01-2023 10:09:23","34.9","36.2","27.4",""
"09-01-2023 10:09:25","34.9","36.2","27.4",""
"09-01-2023 10:09:27","34.9","36.2","27.4",""
"09-01-2023 10:09:29","34.8","36.1","27.3",""
"09-01-2023 10:09:31","34.8","36.1","27.3",""
"09-01-2023 10:09:33","34.8","36","27.3",""
"09-01-2023 10:09:35","34.6","35.9","27.2",""
"09-01-2023 10:09:37","34.6","35.9","27.2",""
"09-01-2023 10:09:39","34.6","36","27.2",""
