Mass (g),Sensor reading
0,19459
0,19395
0,19402
0,19463
0,19470
418.61,377
418.61,368
418.61,358
418.61,365
418.61,306
678.82,-10017
678.82,-10005
678.82,-9938
678.82,-9912
678.82,-9913
936.96,-20514
936.96,-20418
936.96,-20380
936.96,-20370
936.96,-20496
1199.22,-30339
1199.22,-30265
1199.22,-30259
1199.22,-30236
1199.22,-30249
1470.42,-41443
1470.42,-41462
1470.42,-41609
1470.42,-41623
1470.42,-41675
1715.02,-54328
1715.02,-54345
1715.02,-54286
1715.02,-51350
1715.02,-51333
1990.433,-62204
1990.433,-62322
1990.433,-62412
1990.433,-62414
1990.433,-62471
2277.203,-74441
2277.203,-74509
2277.203,-74479
2277.203,-74480
2277.203,-74522
2476.793,-82836
2476.793,-82793
2476.793,-82824
2476.793,-82754
2476.793,-82825
